IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2019,true,Sex,Male,MLE,,,,,,,,,,42.31,,,,,,42,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,true,Sex,Male,MLE,,,,,,,,,,44.48,,,,,,44,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,44.24,,,,,,44,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,46.37,,,,,,46,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,46.42,,,,,,46,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2019,true,Sex,Male,MLE,,,,,,,,,,47.07,,,,,,47,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,48.44,,,,,,48,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,MOZ,Mozambique,Year,2019,true,Sex,Male,MLE,,,,,,,,,,47.9,,,,,,48,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,true,Sex,Male,MLE,,,,,,,,,,48.32,,,,,,48,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,50.06,,,,,,50,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2019,true,Sex,Male,MLE,,,,,,,,,,50.45,,,,,,50,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,MOZ,Mozambique,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,50.36,,,,,,50,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,49.72,,,,,,50,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Male,MLE,,,,,,,,,,51.28,,,,,,51,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,true,Sex,Male,MLE,,,,,,,,,,51.08,,,,,,51,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,51.31,,,,,,51,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,true,Sex,Male,MLE,,,,,,,,,,51.21,,,,,,51,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,BWA,Botswana,Year,2019,true,Sex,Male,MLE,,,,,,,,,,51.93,,,,,,52,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,52.02,,,,,,52,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,ZMB,Zambia,Year,2019,true,Sex,Male,MLE,,,,,,,,,,52.5,,,,,,52,,,EN,2020-12-04T00:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,53.15,,,,,,53,,,EN,2020-12-04T00:00:00.000Z
